Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;Box;Extra;Attend.;Arena;Notes;Type Game;;Date;Visitor/Neutral;Result;;Date;Home/Neutral;Result
Fri, Mar 3, 2023;8:00p;New York Knicks;122;Miami Heat;120;Box Score;;19,600;Kaseya Center;;season;;Fri, Mar 3, 2023;New York Knicks;1;;Fri, Mar 3, 2023;Miami Heat;0
Fri, Mar 3, 2023;8:00p;Utah Jazz;103;Oklahoma City Thunder;130;Box Score;;16,538;Paycom Center;;season;;Fri, Mar 3, 2023;Utah Jazz;0;;Fri, Mar 3, 2023;Oklahoma City Thunder;1
Fri, Mar 3, 2023;10:00p;Memphis Grizzlies;97;Denver Nuggets;113;Box Score;;19,641;Ball Arena;;season;;Fri, Mar 3, 2023;Memphis Grizzlies;0;;Fri, Mar 3, 2023;Denver Nuggets;1
Fri, Mar 3, 2023;10:00p;New Orleans Pelicans;99;Golden State Warriors;108;Box Score;;18,064;Chase Center;;season;;Fri, Mar 3, 2023;New Orleans Pelicans;0;;Fri, Mar 3, 2023;Golden State Warriors;1
Fri, Mar 3, 2023;10:00p;Los Angeles Clippers;127;Sacramento Kings;128;Box Score;;18,111;Golden 1 Center;;season;;Fri, Mar 3, 2023;Los Angeles Clippers;0;;Fri, Mar 3, 2023;Sacramento Kings;1
Fri, Mar 3, 2023;10:30p;Minnesota Timberwolves;110;Los Angeles Lakers;102;Box Score;;18,997;Crypto.com Arena;;season;;Fri, Mar 3, 2023;Minnesota Timberwolves;1;;Fri, Mar 3, 2023;Los Angeles Lakers;0
Sat, Mar 4, 2023;5:00p;Toronto Raptors;116;Washington Wizards;109;Box Score;OT;18,174;Capital One Arena;;season;;Sat, Mar 4, 2023;Toronto Raptors;1;;Sat, Mar 4, 2023;Washington Wizards;0
Sat, Mar 4, 2023;7:30p;Detroit Pistons;90;Cleveland Cavaliers;114;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Sat, Mar 4, 2023;Detroit Pistons;0;;Sat, Mar 4, 2023;Cleveland Cavaliers;1
Sat, Mar 4, 2023;8:00p;Atlanta Hawks;109;Miami Heat;117;Box Score;;19,600;Kaseya Center;;season;;Sat, Mar 4, 2023;Atlanta Hawks;0;;Sat, Mar 4, 2023;Miami Heat;1
Sat, Mar 4, 2023;8:00p;Houston Rockets;122;San Antonio Spurs;110;Box Score;;18,354;AT&T Center;;season;;Sat, Mar 4, 2023;Houston Rockets;1;;Sat, Mar 4, 2023;San Antonio Spurs;0
Sat, Mar 4, 2023;8:30p;Philadelphia 76ers;133;Milwaukee Bucks;130;Box Score;;18,100;Fiserv Forum;;season;;Sat, Mar 4, 2023;Philadelphia 76ers;1;;Sat, Mar 4, 2023;Milwaukee Bucks;0
Sat, Mar 4, 2023;10:00p;Minnesota Timberwolves;138;Sacramento Kings;134;Box Score;;18,111;Golden 1 Center;;season;;Sat, Mar 4, 2023;Minnesota Timberwolves;1;;Sat, Mar 4, 2023;Sacramento Kings;0
Sun, Mar 5, 2023;1:00p;Phoenix Suns;130;Dallas Mavericks;126;Box Score;;20,311;American Airlines Center;;season;;Sun, Mar 5, 2023;Phoenix Suns;1;;Sun, Mar 5, 2023;Dallas Mavericks;0
Sun, Mar 5, 2023;3:30p;Indiana Pacers;125;Chicago Bulls;122;Box Score;;21,225;United Center;;season;;Sun, Mar 5, 2023;Indiana Pacers;1;;Sun, Mar 5, 2023;Chicago Bulls;0
Sun, Mar 5, 2023;3:30p;Golden State Warriors;105;Los Angeles Lakers;113;Box Score;;18,997;Crypto.com Arena;;season;;Sun, Mar 5, 2023;Golden State Warriors;0;;Sun, Mar 5, 2023;Los Angeles Lakers;1
Sun, Mar 5, 2023;6:00p;Charlotte Hornets;86;Brooklyn Nets;102;Box Score;;17,921;Barclays Center;;season;;Sun, Mar 5, 2023;Charlotte Hornets;0;;Sun, Mar 5, 2023;Brooklyn Nets;1
Sun, Mar 5, 2023;6:00p;Portland Trail Blazers;122;Orlando Magic;119;Box Score;;18,846;Amway Center;;season;;Sun, Mar 5, 2023;Portland Trail Blazers;1;;Sun, Mar 5, 2023;Orlando Magic;0
Sun, Mar 5, 2023;7:00p;San Antonio Spurs;110;Houston Rockets;142;Box Score;;16,721;Toyota Center;;season;;Sun, Mar 5, 2023;San Antonio Spurs;0;;Sun, Mar 5, 2023;Houston Rockets;1
Sun, Mar 5, 2023;7:00p;Utah Jazz;119;Oklahoma City Thunder;129;Box Score;;14,778;Paycom Center;;season;;Sun, Mar 5, 2023;Utah Jazz;0;;Sun, Mar 5, 2023;Oklahoma City Thunder;1
Sun, Mar 5, 2023;7:30p;New York Knicks;131;Boston Celtics;129;Box Score;2OT;19,156;TD Garden;;season;;Sun, Mar 5, 2023;New York Knicks;1;;Sun, Mar 5, 2023;Boston Celtics;0
Sun, Mar 5, 2023;7:30p;Milwaukee Bucks;117;Washington Wizards;111;Box Score;;18,746;Capital One Arena;;season;;Sun, Mar 5, 2023;Milwaukee Bucks;1;;Sun, Mar 5, 2023;Washington Wizards;0
Sun, Mar 5, 2023;10:00p;Memphis Grizzlies;129;Los Angeles Clippers;135;Box Score;;19,068;Crypto.com Arena;;season;;Sun, Mar 5, 2023;Memphis Grizzlies;0;;Sun, Mar 5, 2023;Los Angeles Clippers;1
Mon, Mar 6, 2023;7:00p;Boston Celtics;114;Cleveland Cavaliers;118;Box Score;OT;19,432;Rocket Mortgage Fieldhouse;;season;;Mon, Mar 6, 2023;Boston Celtics;0;;Mon, Mar 6, 2023;Cleveland Cavaliers;1
Mon, Mar 6, 2023;7:00p;Portland Trail Blazers;110;Detroit Pistons;104;Box Score;;16,989;Little Caesars Arena;;season;;Mon, Mar 6, 2023;Portland Trail Blazers;1;;Mon, Mar 6, 2023;Detroit Pistons;0
Mon, Mar 6, 2023;7:00p;Philadelphia 76ers;147;Indiana Pacers;143;Box Score;;15,008;Gainbridge Fieldhouse;;season;;Mon, Mar 6, 2023;Philadelphia 76ers;1;;Mon, Mar 6, 2023;Indiana Pacers;0
Mon, Mar 6, 2023;7:30p;Atlanta Hawks;128;Miami Heat;130;Box Score;;19,600;Kaseya Center;;season;;Mon, Mar 6, 2023;Atlanta Hawks;0;;Mon, Mar 6, 2023;Miami Heat;1
Mon, Mar 6, 2023;9:00p;Toronto Raptors;113;Denver Nuggets;118;Box Score;;19,520;Ball Arena;;season;;Mon, Mar 6, 2023;Toronto Raptors;0;;Mon, Mar 6, 2023;Denver Nuggets;1
Mon, Mar 6, 2023;10:00p;New Orleans Pelicans;108;Sacramento Kings;123;Box Score;;17,708;Golden 1 Center;;season;;Mon, Mar 6, 2023;New Orleans Pelicans;0;;Mon, Mar 6, 2023;Sacramento Kings;1
Tue, Mar 7, 2023;7:00p;Washington Wizards;119;Detroit Pistons;117;Box Score;;17,855;Little Caesars Arena;;season;;Tue, Mar 7, 2023;Washington Wizards;1;;Tue, Mar 7, 2023;Detroit Pistons;0
Tue, Mar 7, 2023;7:00p;Milwaukee Bucks;134;Orlando Magic;123;Box Score;;16,110;Amway Center;;season;;Tue, Mar 7, 2023;Milwaukee Bucks;1;;Tue, Mar 7, 2023;Orlando Magic;0
Tue, Mar 7, 2023;7:30p;Philadelphia 76ers;117;Minnesota Timberwolves;94;Box Score;;17,136;Target Center;;season;;Tue, Mar 7, 2023;Philadelphia 76ers;1;;Tue, Mar 7, 2023;Minnesota Timberwolves;0
Tue, Mar 7, 2023;7:30p;Charlotte Hornets;112;New York Knicks;105;Box Score;;19,812;Madison Square Garden (IV);;season;;Tue, Mar 7, 2023;Charlotte Hornets;1;;Tue, Mar 7, 2023;New York Knicks;0
Tue, Mar 7, 2023;8:00p;Brooklyn Nets;118;Houston Rockets;96;Box Score;;14,833;Toyota Center;;season;;Tue, Mar 7, 2023;Brooklyn Nets;1;;Tue, Mar 7, 2023;Houston Rockets;0
Tue, Mar 7, 2023;8:00p;Golden State Warriors;128;Oklahoma City Thunder;137;Box Score;;16,142;Paycom Center;;season;;Tue, Mar 7, 2023;Golden State Warriors;0;;Tue, Mar 7, 2023;Oklahoma City Thunder;1
Tue, Mar 7, 2023;8:30p;Utah Jazz;116;Dallas Mavericks;120;Box Score;;20,277;American Airlines Center;;season;;Tue, Mar 7, 2023;Utah Jazz;0;;Tue, Mar 7, 2023;Dallas Mavericks;1
Tue, Mar 7, 2023;10:00p;Memphis Grizzlies;103;Los Angeles Lakers;112;Box Score;;18,997;Crypto.com Arena;;season;;Tue, Mar 7, 2023;Memphis Grizzlies;0;;Tue, Mar 7, 2023;Los Angeles Lakers;1
Wed, Mar 8, 2023;7:00p;Atlanta Hawks;122;Washington Wizards;120;Box Score;;15,087;Capital One Arena;;season;;Wed, Mar 8, 2023;Atlanta Hawks;1;;Wed, Mar 8, 2023;Washington Wizards;0
Wed, Mar 8, 2023;7:30p;Portland Trail Blazers;93;Boston Celtics;115;Box Score;;19,156;TD Garden;;season;;Wed, Mar 8, 2023;Portland Trail Blazers;0;;Wed, Mar 8, 2023;Boston Celtics;1
Wed, Mar 8, 2023;7:30p;Cleveland Cavaliers;104;Miami Heat;100;Box Score;;19,600;Kaseya Center;;season;;Wed, Mar 8, 2023;Cleveland Cavaliers;1;;Wed, Mar 8, 2023;Miami Heat;0
Wed, Mar 8, 2023;7:30p;Dallas Mavericks;106;New Orleans Pelicans;113;Box Score;;17,473;Smoothie King Center;;season;;Wed, Mar 8, 2023;Dallas Mavericks;0;;Wed, Mar 8, 2023;New Orleans Pelicans;1
Wed, Mar 8, 2023;9:00p;Chicago Bulls;117;Denver Nuggets;96;Box Score;;19,896;Ball Arena;;season;;Wed, Mar 8, 2023;Chicago Bulls;1;;Wed, Mar 8, 2023;Denver Nuggets;0
Wed, Mar 8, 2023;9:00p;Oklahoma City Thunder;101;Phoenix Suns;132;Box Score;;17,071;Footprint Center;;season;;Wed, Mar 8, 2023;Oklahoma City Thunder;0;;Wed, Mar 8, 2023;Phoenix Suns;1
Wed, Mar 8, 2023;10:00p;Toronto Raptors;100;Los Angeles Clippers;108;Box Score;;17,397;Crypto.com Arena;;season;;Wed, Mar 8, 2023;Toronto Raptors;0;;Wed, Mar 8, 2023;Los Angeles Clippers;1
Thu, Mar 9, 2023;7:00p;Charlotte Hornets;113;Detroit Pistons;103;Box Score;;17,121;Little Caesars Arena;;season;;Thu, Mar 9, 2023;Charlotte Hornets;1;;Thu, Mar 9, 2023;Detroit Pistons;0
Thu, Mar 9, 2023;7:00p;Houston Rockets;125;Indiana Pacers;134;Box Score;OT;16,027;Gainbridge Fieldhouse;;season;;Thu, Mar 9, 2023;Houston Rockets;0;;Thu, Mar 9, 2023;Indiana Pacers;1
Thu, Mar 9, 2023;7:00p;Utah Jazz;131;Orlando Magic;124;Box Score;;16,552;Amway Center;;season;;Thu, Mar 9, 2023;Utah Jazz;1;;Thu, Mar 9, 2023;Orlando Magic;0
Thu, Mar 9, 2023;7:30p;Golden State Warriors;110;Memphis Grizzlies;131;Box Score;;17,794;FedEx Forum;;season;;Thu, Mar 9, 2023;Golden State Warriors;0;;Thu, Mar 9, 2023;Memphis Grizzlies;1
Thu, Mar 9, 2023;8:00p;Brooklyn Nets;113;Milwaukee Bucks;118;Box Score;;17,341;Fiserv Forum;;season;;Thu, Mar 9, 2023;Brooklyn Nets;0;;Thu, Mar 9, 2023;Milwaukee Bucks;1
Thu, Mar 9, 2023;10:00p;New York Knicks;117;Sacramento Kings;122;Box Score;;18,068;Golden 1 Center;;season;;Thu, Mar 9, 2023;New York Knicks;0;;Thu, Mar 9, 2023;Sacramento Kings;1
Fri, Mar 10, 2023;7:00p;Portland Trail Blazers;119;Philadelphia 76ers;120;Box Score;;21,001;Wells Fargo Center;;season;;Fri, Mar 10, 2023;Portland Trail Blazers;0;;Fri, Mar 10, 2023;Philadelphia 76ers;1
Fri, Mar 10, 2023;7:00p;Atlanta Hawks;114;Washington Wizards;107;Box Score;;18,161;Capital One Arena;;season;;Fri, Mar 10, 2023;Atlanta Hawks;1;;Fri, Mar 10, 2023;Washington Wizards;0
Fri, Mar 10, 2023;8:00p;Cleveland Cavaliers;115;Miami Heat;119;Box Score;;19,757;Kaseya Center;;season;;Fri, Mar 10, 2023;Cleveland Cavaliers;0;;Fri, Mar 10, 2023;Miami Heat;1
Fri, Mar 10, 2023;8:00p;Brooklyn Nets;124;Minnesota Timberwolves;123;Box Score;OT;17,136;Target Center;;season;;Fri, Mar 10, 2023;Brooklyn Nets;1;;Fri, Mar 10, 2023;Minnesota Timberwolves;0
Fri, Mar 10, 2023;8:00p;Denver Nuggets;120;San Antonio Spurs;128;Box Score;;18,354;AT&T Center;;season;;Fri, Mar 10, 2023;Denver Nuggets;0;;Fri, Mar 10, 2023;San Antonio Spurs;1
Fri, Mar 10, 2023;10:30p;Toronto Raptors;112;Los Angeles Lakers;122;Box Score;;18,322;Crypto.com Arena;;season;;Fri, Mar 10, 2023;Toronto Raptors;0;;Fri, Mar 10, 2023;Los Angeles Lakers;1
Sat, Mar 11, 2023;4:00p;New York Knicks;95;Los Angeles Clippers;106;Box Score;;19,068;Crypto.com Arena;;season;;Sat, Mar 11, 2023;New York Knicks;0;;Sat, Mar 11, 2023;Los Angeles Clippers;1
Sat, Mar 11, 2023;7:00p;Utah Jazz;119;Charlotte Hornets;111;Box Score;;17,221;Spectrum Center;;season;;Sat, Mar 11, 2023;Utah Jazz;1;;Sat, Mar 11, 2023;Charlotte Hornets;0
Sat, Mar 11, 2023;7:00p;Indiana Pacers;121;Detroit Pistons;115;Box Score;;20,190;Little Caesars Arena;;season;;Sat, Mar 11, 2023;Indiana Pacers;1;;Sat, Mar 11, 2023;Detroit Pistons;0
Sat, Mar 11, 2023;7:00p;Miami Heat;114;Orlando Magic;126;Box Score;OT;17,347;Amway Center;;season;;Sat, Mar 11, 2023;Miami Heat;0;;Sat, Mar 11, 2023;Orlando Magic;1
Sat, Mar 11, 2023;7:30p;Boston Celtics;134;Atlanta Hawks;125;Box Score;;17,884;State Farm Arena;;season;;Sat, Mar 11, 2023;Boston Celtics;1;;Sat, Mar 11, 2023;Atlanta Hawks;0
Sat, Mar 11, 2023;8:00p;Chicago Bulls;119;Houston Rockets;111;Box Score;;18,055;Toyota Center;;season;;Sat, Mar 11, 2023;Chicago Bulls;1;;Sat, Mar 11, 2023;Houston Rockets;0
Sat, Mar 11, 2023;8:00p;Dallas Mavericks;108;Memphis Grizzlies;112;Box Score;;17,794;FedEx Forum;;season;;Sat, Mar 11, 2023;Dallas Mavericks;0;;Sat, Mar 11, 2023;Memphis Grizzlies;1
Sat, Mar 11, 2023;8:30p;Milwaukee Bucks;116;Golden State Warriors;125;Box Score;OT;18,064;Chase Center;;season;;Sat, Mar 11, 2023;Milwaukee Bucks;0;;Sat, Mar 11, 2023;Golden State Warriors;1
Sat, Mar 11, 2023;8:30p;Oklahoma City Thunder;110;New Orleans Pelicans;96;Box Score;;17,606;Smoothie King Center;;season;;Sat, Mar 11, 2023;Oklahoma City Thunder;1;;Sat, Mar 11, 2023;New Orleans Pelicans;0
Sat, Mar 11, 2023;9:00p;Sacramento Kings;128;Phoenix Suns;119;Box Score;;17,071;Footprint Center;;season;;Sat, Mar 11, 2023;Sacramento Kings;1;;Sat, Mar 11, 2023;Phoenix Suns;0
Sun, Mar 12, 2023;3:30p;Brooklyn Nets;122;Denver Nuggets;120;Box Score;;19,739;Ball Arena;;season;;Sun, Mar 12, 2023;Brooklyn Nets;1;;Sun, Mar 12, 2023;Denver Nuggets;0
Sun, Mar 12, 2023;5:00p;Cleveland Cavaliers;114;Charlotte Hornets;108;Box Score;;17,342;Spectrum Center;;season;;Sun, Mar 12, 2023;Cleveland Cavaliers;1;;Sun, Mar 12, 2023;Charlotte Hornets;0
Sun, Mar 12, 2023;6:00p;Washington Wizards;93;Philadelphia 76ers;112;Box Score;;21,220;Wells Fargo Center;;season;;Sun, Mar 12, 2023;Washington Wizards;0;;Sun, Mar 12, 2023;Philadelphia 76ers;1
Sun, Mar 12, 2023;7:00p;Portland Trail Blazers;110;New Orleans Pelicans;127;Box Score;;16,676;Smoothie King Center;;season;;Sun, Mar 12, 2023;Portland Trail Blazers;0;;Sun, Mar 12, 2023;New Orleans Pelicans;1
Sun, Mar 12, 2023;7:00p;Oklahoma City Thunder;102;San Antonio Spurs;90;Box Score;;17,314;AT&T Center;;season;;Sun, Mar 12, 2023;Oklahoma City Thunder;1;;Sun, Mar 12, 2023;San Antonio Spurs;0
Sun, Mar 12, 2023;9:00p;New York Knicks;112;Los Angeles Lakers;108;Box Score;;18,997;Crypto.com Arena;;season;;Sun, Mar 12, 2023;New York Knicks;1;;Sun, Mar 12, 2023;Los Angeles Lakers;0
Mon, Mar 13, 2023;7:00p;Indiana Pacers;97;Detroit Pistons;117;Box Score;;18,313;Little Caesars Arena;;season;;Mon, Mar 13, 2023;Indiana Pacers;0;;Mon, Mar 13, 2023;Detroit Pistons;1
Mon, Mar 13, 2023;7:30p;Minnesota Timberwolves;136;Atlanta Hawks;115;Box Score;;17,799;State Farm Arena;;season;;Mon, Mar 13, 2023;Minnesota Timberwolves;1;;Mon, Mar 13, 2023;Atlanta Hawks;0
Mon, Mar 13, 2023;7:30p;Memphis Grizzlies;104;Dallas Mavericks;88;Box Score;;20,303;American Airlines Center;;season;;Mon, Mar 13, 2023;Memphis Grizzlies;1;;Mon, Mar 13, 2023;Dallas Mavericks;0
Mon, Mar 13, 2023;7:30p;Utah Jazz;115;Miami Heat;119;Box Score;;19,721;Kaseya Center;;season;;Mon, Mar 13, 2023;Utah Jazz;0;;Mon, Mar 13, 2023;Miami Heat;1
Mon, Mar 13, 2023;8:00p;Boston Celtics;109;Houston Rockets;111;Box Score;;18,055;Toyota Center;;season;;Mon, Mar 13, 2023;Boston Celtics;0;;Mon, Mar 13, 2023;Houston Rockets;1
Mon, Mar 13, 2023;10:00p;Phoenix Suns;112;Golden State Warriors;123;Box Score;;18,064;Chase Center;;season;;Mon, Mar 13, 2023;Phoenix Suns;0;;Mon, Mar 13, 2023;Golden State Warriors;1
Mon, Mar 13, 2023;10:00p;Milwaukee Bucks;133;Sacramento Kings;124;Box Score;;18,111;Golden 1 Center;;season;;Mon, Mar 13, 2023;Milwaukee Bucks;1;;Mon, Mar 13, 2023;Sacramento Kings;0
Tue, Mar 14, 2023;7:00p;Cleveland Cavaliers;120;Charlotte Hornets;104;Box Score;;14,690;Spectrum Center;;season;;Tue, Mar 14, 2023;Cleveland Cavaliers;1;;Tue, Mar 14, 2023;Charlotte Hornets;0
Tue, Mar 14, 2023;7:00p;Detroit Pistons;97;Washington Wizards;117;Box Score;;15,279;Capital One Arena;;season;;Tue, Mar 14, 2023;Detroit Pistons;0;;Tue, Mar 14, 2023;Washington Wizards;1
Tue, Mar 14, 2023;7:30p;Denver Nuggets;110;Toronto Raptors;125;Box Score;;19,800;Scotiabank Arena;;season;;Tue, Mar 14, 2023;Denver Nuggets;0;;Tue, Mar 14, 2023;Toronto Raptors;1
Tue, Mar 14, 2023;8:00p;Los Angeles Lakers;123;New Orleans Pelicans;108;Box Score;;18,625;Smoothie King Center;;season;;Tue, Mar 14, 2023;Los Angeles Lakers;1;;Tue, Mar 14, 2023;New Orleans Pelicans;0
Tue, Mar 14, 2023;8:00p;Brooklyn Nets;107;Oklahoma City Thunder;121;Box Score;;16,976;Paycom Center;;season;;Tue, Mar 14, 2023;Brooklyn Nets;0;;Tue, Mar 14, 2023;Oklahoma City Thunder;1
Tue, Mar 14, 2023;8:00p;Orlando Magic;114;San Antonio Spurs;132;Box Score;;13,708;AT&T Center;;season;;Tue, Mar 14, 2023;Orlando Magic;0;;Tue, Mar 14, 2023;San Antonio Spurs;1
Tue, Mar 14, 2023;10:00p;Milwaukee Bucks;116;Phoenix Suns;104;Box Score;;17,071;Footprint Center;;season;;Tue, Mar 14, 2023;Milwaukee Bucks;1;;Tue, Mar 14, 2023;Phoenix Suns;0
Tue, Mar 14, 2023;10:00p;New York Knicks;123;Portland Trail Blazers;107;Box Score;;19,488;Moda Center;;season;;Tue, Mar 14, 2023;New York Knicks;1;;Tue, Mar 14, 2023;Portland Trail Blazers;0
Wed, Mar 15, 2023;7:30p;Philadelphia 76ers;118;Cleveland Cavaliers;109;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Wed, Mar 15, 2023;Philadelphia 76ers;1;;Wed, Mar 15, 2023;Cleveland Cavaliers;0
Wed, Mar 15, 2023;7:30p;Memphis Grizzlies;119;Miami Heat;138;Box Score;;19,794;Kaseya Center;;season;;Wed, Mar 15, 2023;Memphis Grizzlies;0;;Wed, Mar 15, 2023;Miami Heat;1
Wed, Mar 15, 2023;8:00p;Sacramento Kings;117;Chicago Bulls;114;Box Score;;21,886;United Center;;season;;Wed, Mar 15, 2023;Sacramento Kings;1;;Wed, Mar 15, 2023;Chicago Bulls;0
Wed, Mar 15, 2023;8:00p;Los Angeles Lakers;110;Houston Rockets;114;Box Score;;18,055;Toyota Center;;season;;Wed, Mar 15, 2023;Los Angeles Lakers;0;;Wed, Mar 15, 2023;Houston Rockets;1
Wed, Mar 15, 2023;8:00p;Boston Celtics;104;Minnesota Timberwolves;102;Box Score;;17,136;Target Center;;season;;Wed, Mar 15, 2023;Boston Celtics;1;;Wed, Mar 15, 2023;Minnesota Timberwolves;0
Wed, Mar 15, 2023;8:30p;Dallas Mavericks;137;San Antonio Spurs;128;Box Score;OT;18,354;AT&T Center;;season;;Wed, Mar 15, 2023;Dallas Mavericks;1;;Wed, Mar 15, 2023;San Antonio Spurs;0
Wed, Mar 15, 2023;10:00p;Golden State Warriors;126;Los Angeles Clippers;134;Box Score;;19,068;Crypto.com Arena;;season;;Wed, Mar 15, 2023;Golden State Warriors;0;;Wed, Mar 15, 2023;Los Angeles Clippers;1
Thu, Mar 16, 2023;7:00p;Denver Nuggets;119;Detroit Pistons;100;Box Score;;17,987;Little Caesars Arena;;season;;Thu, Mar 16, 2023;Denver Nuggets;1;;Thu, Mar 16, 2023;Detroit Pistons;0
Thu, Mar 16, 2023;7:30p;Sacramento Kings;101;Brooklyn Nets;96;Box Score;;18,172;Barclays Center;;season;;Thu, Mar 16, 2023;Sacramento Kings;1;;Thu, Mar 16, 2023;Brooklyn Nets;0
Thu, Mar 16, 2023;7:30p;Oklahoma City Thunder;111;Toronto Raptors;128;Box Score;;19,800;Scotiabank Arena;;season;;Thu, Mar 16, 2023;Oklahoma City Thunder;0;;Thu, Mar 16, 2023;Toronto Raptors;1
Thu, Mar 16, 2023;8:00p;Indiana Pacers;139;Milwaukee Bucks;123;Box Score;;17,797;Fiserv Forum;;season;;Thu, Mar 16, 2023;Indiana Pacers;1;;Thu, Mar 16, 2023;Milwaukee Bucks;0
Thu, Mar 16, 2023;10:00p;Orlando Magic;113;Phoenix Suns;116;Box Score;;17,071;Footprint Center;;season;;Thu, Mar 16, 2023;Orlando Magic;0;;Thu, Mar 16, 2023;Phoenix Suns;1
Fri, Mar 17, 2023;7:00p;Philadelphia 76ers;121;Charlotte Hornets;82;Box Score;;19,096;Spectrum Center;;season;;Fri, Mar 17, 2023;Philadelphia 76ers;1;;Fri, Mar 17, 2023;Charlotte Hornets;0
Fri, Mar 17, 2023;7:30p;Golden State Warriors;119;Atlanta Hawks;127;Box Score;;18,201;State Farm Arena;;season;;Fri, Mar 17, 2023;Golden State Warriors;0;;Fri, Mar 17, 2023;Atlanta Hawks;1
Fri, Mar 17, 2023;7:30p;Washington Wizards;94;Cleveland Cavaliers;117;Box Score;;19,432;Rocket Mortgage Fieldhouse;;season;;Fri, Mar 17, 2023;Washington Wizards;0;;Fri, Mar 17, 2023;Cleveland Cavaliers;1
Fri, Mar 17, 2023;8:00p;Minnesota Timberwolves;131;Chicago Bulls;139;Box Score;2OT;20,109;United Center;;season;;Fri, Mar 17, 2023;Minnesota Timberwolves;0;;Fri, Mar 17, 2023;Chicago Bulls;1
Fri, Mar 17, 2023;8:00p;New Orleans Pelicans;112;Houston Rockets;114;Box Score;;15,841;Toyota Center;;season;;Fri, Mar 17, 2023;New Orleans Pelicans;0;;Fri, Mar 17, 2023;Houston Rockets;1
Fri, Mar 17, 2023;8:00p;Memphis Grizzlies;126;San Antonio Spurs;120;Box Score;OT;15,221;AT&T Center;;season;;Fri, Mar 17, 2023;Memphis Grizzlies;1;;Fri, Mar 17, 2023;San Antonio Spurs;0
Fri, Mar 17, 2023;10:00p;Boston Celtics;126;Portland Trail Blazers;112;Box Score;;19,393;Moda Center;;season;;Fri, Mar 17, 2023;Boston Celtics;1;;Fri, Mar 17, 2023;Portland Trail Blazers;0
Fri, Mar 17, 2023;10:30p;Dallas Mavericks;111;Los Angeles Lakers;110;Box Score;;18,997;Crypto.com Arena;;season;;Fri, Mar 17, 2023;Dallas Mavericks;1;;Fri, Mar 17, 2023;Los Angeles Lakers;0
Sat, Mar 18, 2023;1:00p;Denver Nuggets;110;New York Knicks;116;Box Score;;19,812;Madison Square Garden (IV);;season;;Sat, Mar 18, 2023;Denver Nuggets;0;;Sat, Mar 18, 2023;New York Knicks;1
Sat, Mar 18, 2023;3:00p;Orlando Magic;113;Los Angeles Clippers;108;Box Score;;17,533;Crypto.com Arena;;season;;Sat, Mar 18, 2023;Orlando Magic;1;;Sat, Mar 18, 2023;Los Angeles Clippers;0
Sat, Mar 18, 2023;7:00p;Philadelphia 76ers;141;Indiana Pacers;121;Box Score;;17,274;Gainbridge Fieldhouse;;season;;Sat, Mar 18, 2023;Philadelphia 76ers;1;;Sat, Mar 18, 2023;Indiana Pacers;0
Sat, Mar 18, 2023;7:00p;Minnesota Timberwolves;107;Toronto Raptors;122;Box Score;;19,800;Scotiabank Arena;;season;;Sat, Mar 18, 2023;Minnesota Timberwolves;0;;Sat, Mar 18, 2023;Toronto Raptors;1
Sat, Mar 18, 2023;8:00p;Miami Heat;99;Chicago Bulls;113;Box Score;;20,094;United Center;;season;;Sat, Mar 18, 2023;Miami Heat;0;;Sat, Mar 18, 2023;Chicago Bulls;1
Sat, Mar 18, 2023;8:00p;Golden State Warriors;119;Memphis Grizzlies;133;Box Score;;18,396;FedEx Forum;;season;;Sat, Mar 18, 2023;Golden State Warriors;0;;Sat, Mar 18, 2023;Memphis Grizzlies;1
Sat, Mar 18, 2023;8:00p;Sacramento Kings;132;Washington Wizards;118;Box Score;;18,529;Capital One Arena;;season;;Sat, Mar 18, 2023;Sacramento Kings;1;;Sat, Mar 18, 2023;Washington Wizards;0
Sat, Mar 18, 2023;9:00p;Boston Celtics;117;Utah Jazz;118;Box Score;;18,206;Vivint Arena;;season;;Sat, Mar 18, 2023;Boston Celtics;0;;Sat, Mar 18, 2023;Utah Jazz;1
Sun, Mar 19, 2023;3:30p;Denver Nuggets;108;Brooklyn Nets;102;Box Score;;18,235;Barclays Center;;season;;Sun, Mar 19, 2023;Denver Nuggets;1;;Sun, Mar 19, 2023;Brooklyn Nets;0
Sun, Mar 19, 2023;3:30p;Phoenix Suns;120;Oklahoma City Thunder;124;Box Score;;17,897;Paycom Center;;season;;Sun, Mar 19, 2023;Phoenix Suns;0;;Sun, Mar 19, 2023;Oklahoma City Thunder;1
Sun, Mar 19, 2023;4:00p;Atlanta Hawks;118;San Antonio Spurs;126;Box Score;;16,311;AT&T Center;;season;;Sun, Mar 19, 2023;Atlanta Hawks;0;;Sun, Mar 19, 2023;San Antonio Spurs;1
Sun, Mar 19, 2023;6:00p;Miami Heat;112;Detroit Pistons;100;Box Score;;20,190;Little Caesars Arena;;season;;Sun, Mar 19, 2023;Miami Heat;1;;Sun, Mar 19, 2023;Detroit Pistons;0
